"TOA5","TGA Sampling System","CR3000","3722","CR3000.Std.28.02","CPU:TGAsampling_v1_2_LICOR_high_CO2__site_11_13_CalTank2.CR3","2183","SiteAvg"
"TIMESTAMP","RECORD","valve_number","diag_system_Avg","NumSamples","Conc12C_Avg","Conc13C_Avg","TGAStatus_Avg","TGAPressure_Avg","LaserTemp_Avg","DCCurrentA_Avg","DCCurrentB_Avg","TGAAnalog1_Avg","TGATemp1_Avg","TGATemp2_Avg","LaserCooler_Avg","RefDetSigA_Avg","RefDetSigB_Avg","RefDetTransA_Avg","RefDetTransB_Avg","RefDetTemp_Avg","RefDetCooler_Avg","RefDetGainOffset_Avg","SmpDetSigA_Avg","SmpDetSigB_Avg","SmpDetTransA_Avg","SmpDetTransB_Avg","SmpDetTemp_Avg","SmpDetCooler_Avg","SmpDetGainOffset_Avg","TGATemp1DutyCycle_Avg","TGATemp2DutyCycle_Avg","SampleFlow_Avg","ExcessFlow_Avg","SamplePress_Avg","BypassPress_Avg","SampleP_control_Avg","BypassP_control_Avg","TGAPress_control_Avg","panel_tmpr_Avg","batt_volt_Avg","buff_depth_Max","Conc12C_Std","Conc13C_Std","TGAStatus_Std","TGAPressure_Std","LaserTemp_Std","DCCurrentA_Std","DCCurrentB_Std","TGAAnalog1_Std","TGATemp1_Std","TGATemp2_Std","LaserCooler_Std","RefDetSigA_Std","RefDetSigB_Std","RefDetTransA_Std","RefDetTransB_Std","RefDetTemp_Std","RefDetCooler_Std","RefDetGainOffset_Std","SmpDetSigA_Std","SmpDetSigB_Std","SmpDetTransA_Std","SmpDetTransB_Std","SmpDetTemp_Std","SmpDetCooler_Std","SmpDetGainOffset_Std","TGATemp1DutyCycle_Std","TGATemp2DutyCycle_Std","SampleFlow_Std","ExcessFlow_Std","SamplePress_Std","BypassPress_Std","SampleP_control_Std","BypassP_control_Std","TGAPress_control_Std","panel_tmpr_Std","batt_volt_Std","Li64Match_Avg(1)","Li64Match_Avg(2)","Li64Tmpr_Avg(1)","Li64Tmpr_Avg(2)","Li64Heat_Avg(1)","Li64Heat_Avg(2)","_Mix_diag_system_Avg","_Mix_ExcessZeroFlow_Avg","_Mix_ExcessMixFlow_Avg","_Mix_CO2Press_Avg","_Mix_ZeroPress_Avg","_Mix_CO2P_control_Avg","_Mix_ZeroP_control_Avg","_Mix_MixTmpr1_Avg","_Mix_MixTmpr2_Avg","_Mix_MixHeat1_Avg","_Mix_MixHeat2_Avg","_Mix_panel_tmpr_Avg","_Mix_batt_volt_Avg"
"TS","RN","","","","ppm","ppm","","mb","degC","mA","mA","V","degC","degC","V","mV","mV","%","%","degC","","","mV","mV","%","%","degC","","","","","ml_min","ml_min","mb","mb","","","","degC","V","","ppm","ppm","","mb","degC","mA","mA","V","degC","degC","V","mV","mV","%","%","degC","","","mV","mV","%","%","degC","","","","","ml_min","ml_min","mb","mb","","","","degC","V","","","degC","degC","","","","","","","","","","","","","","",""
"","","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-03-15 09:30:44.2",0,20,0,100,3.734803,0.04075382,0,29.99858,-0.9999909,73.48408,71.32618,0.02390591,21.3095,21.25833,2.224418,2.95771,2.149852,53.57532,41.41557,-19.99997,756.5296,12325,53.47712,50.4229,99.84169,99.90038,-26.99997,852.3878,12671.79,1,1,169.5622,99.53049,399.9895,400.0781,0.4085672,0.4820625,0.5234513,23.14129,11.76678,0,0.5912907,0.006339824,0,0.01034634,0.0002329777,0.0001975577,0.0002573366,1.159613E-05,0.0004814295,0.0004968439,0.0002793019,0.002446487,0.002700078,0.04516771,0.05332609,0.0005150973,0.04981704,0,0.008425273,0.01126413,0.01498458,0.02106554,0.0004673779,0.04626663,1.321325,0,0,0.1614257,0.122963,0.02499093,0.1898016,0.0001099482,0.0002221413,0.0005407388,0.002030661,0.002555778,1,0,-78.9656,"NAN",1,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2023-03-15 09:31:04.2",1,21,0,100,91.02895,0.9988962,0,29.99855,-0.9999924,73.48421,71.32632,0.02390851,21.31258,21.26152,2.224458,2.939776,2.131179,53.2551,41.06693,-19.99998,756.5344,12325,52.2653,48.80478,97.61291,96.81306,-26.99999,852.3914,12672,1,1,169.2714,109.1687,399.9884,400.0038,0.4125523,0.4800234,0.5242727,23.14257,11.7633,0,0.2215628,0.002257994,0,0.009637898,0.0002344778,0.0002235479,0.0002341408,1.193102E-05,0.0005196569,0.0005744839,0.0002818586,0.002645567,0.00285968,0.04984684,0.05540517,0.000475412,0.04668367,0,0.002676185,0.002827341,0.005705904,0.006501045,0.0004626024,0.04539645,0,0,0,0.1999982,0.1206739,0.02313868,0.04867132,0.0001182551,7.4094E-05,0.0005106759,0.001913681,0.002596111,1,0,-81.10561,"NAN",1,0,960,0.4959191,167.6105,12.03351,16.87487,0,0,28.11061,28.12067,1,1,20.65816,9.519909
"2023-03-15 09:31:24.2",2,23,0,100,416.3432,4.574542,0,29.99835,-0.9999917,73.48412,71.32622,0.02390737,21.31527,21.26459,2.224498,2.918077,2.109118,52.86482,40.65766,-19.99996,756.5406,12325,47.93222,43.14539,89.63486,85.97601,-26.99999,852.3876,12664.83,1,1,168.453,145.0097,399.9882,400.0369,0.4241292,0.4759607,0.5253087,23.14563,11.76222,0,0.5312387,0.005399921,0,0.01192367,0.0002122304,0.0001647873,0.0002008155,1.273425E-05,0.0004142009,0.000425536,0.000255202,0.003270261,0.003177602,0.06003329,0.05981134,0.0005036723,0.0509263,0,0.00461586,0.00503547,0.009614051,0.009979734,0.0004623573,0.04520007,2.408547,0,0,0.2211584,0.1524508,0.02277054,0.1528529,0.000100021,0.0001925113,0.0006256635,0.002268168,0.002592588,1,0,-78.7276,"NAN",1,0,960,0.5400456,167.6016,12.07171,16.87479,0,0,28.10209,28.11961,1,1,20.66241,9.516725
"2023-03-15 09:31:44.2",3,26,4,100,1311.913,14.45652,0,30.00013,-0.9999965,73.48419,71.32626,0.02390282,21.31818,21.26785,2.224543,2.895442,2.085801,52.45595,40.22496,-19.99996,756.5581,12325,37.65467,30.58677,70.65992,61.7047,-27.00003,852.368,12642,1,1,167.1608,0.1231085,400.8503,399.8425,0.2348631,0.4894633,0.5256979,23.14385,11.76219,0,2.359098,0.02604701,0,0.01109669,0.0002335865,0.0002143792,0.0002408247,1.178099E-05,0.0004502576,0.0005098096,0.0002807333,0.002628728,0.002714629,0.04848282,0.05265656,0.0005526207,0.05539363,0,0.009607162,0.01081615,0.01769343,0.02111563,0.0004675438,0.04505837,0,0,0,0.08309013,0.009739072,0.1423517,0.4552431,0.007867125,0.0004617617,0.0005705182,0.002236343,0.002415027,1,0,-77.73414,"NAN",1,0,960,0.5209774,166.9037,12.1053,16.87568,0,0,28.10726,28.1225,1,1,20.66288,9.515214
"2023-03-15 09:32:04.2",4,2,0,100,279.6036,3.083761,0,29.99736,-0.9999924,73.48433,71.32625,0.02390582,21.32125,21.27119,2.224592,2.886194,2.07718,52.2862,40.06464,-19.99999,756.5641,12325,49.65205,45.36945,92.78982,90.23347,-26.99993,852.4196,12666,1,1,163.9749,52.73827,399.9972,399.8968,0.3872864,0.5010717,0.5266733,23.14353,11.76422,0,3.146176,0.03458962,0,0.01122458,0.0002315855,0.0002630451,0.0002445313,1.110742E-05,0.0004516499,0.0004953037,0.0002780047,0.00159718,0.0015538,0.03054206,0.03088138,0.0005013896,0.04695405,0,0.04003327,0.05181985,0.07323638,0.09951077,0.0004412417,0.0433349,0,0,0,0.1300689,0.1253695,0.04534894,0.337835,0.0001395055,0.0003456324,0.0005615738,0.001756432,0.002586079,1,0,-76.97141,"NAN",1,0,960,0.4700361,166.8247,12.13362,16.87482,0,0,28.09607,28.11995,1,1,20.66288,9.517612
"2023-03-15 09:32:24.2",5,10,0,100,393.2413,4.284137,0,29.99822,-0.9999951,73.48422,71.32632,0.02390759,21.32412,21.27409,2.224629,2.882149,2.072185,52.22145,39.96929,-20,756.5768,12325,48.1252,43.444,89.9932,86.55511,-26.99997,852.4216,12666,1,1,170.2421,49.5666,400.0091,400.0262,0.3838354,0.4835611,0.5266218,23.14425,11.76429,0,0.2120212,0.002786719,0,0.01051257,0.0002240762,0.0002613018,0.0002852603,1.163009E-05,0.0004987569,0.0004763676,0.0002690647,0.0008836646,0.001046797,0.01918134,0.02103665,0.0004776917,0.04727248,0,0.003325206,0.003364589,0.006459502,0.006704507,0.0004753707,0.04524707,0,0,0,0.09539448,0.1240699,0.03689151,0.3541761,0.0001130244,0.0005342601,0.0005549011,0.001657453,0.002338502,1,0,-78.31381,"NAN",1,0,960,0.5403877,167.2702,12.15829,16.87793,0,0,28.08991,28.12018,1,1,20.66288,9.521903
"2023-03-15 09:32:44.2",6,11,0,100,367.0054,4.003116,0,29.99761,-0.9999909,73.48418,71.32629,0.02390651,21.32717,21.27702,2.224681,2.887042,2.077424,52.30776,40.06585,-19.99999,756.5901,12325,48.48106,43.89199,90.64777,87.41341,-26.99997,852.4337,12666,1,1,171.4611,55.84553,400.0049,400.0028,0.3879126,0.4817276,0.5273268,23.14396,11.76444,0,0.2506975,0.002639842,0,0.009705711,0.0002089947,0.0002313362,0.0002540723,1.254746E-05,0.0003994544,0.0004519156,0.000250675,0.001353595,0.001392565,0.02648485,0.02742484,0.0005119467,0.05007603,0,0.001931528,0.001999208,0.004141021,0.003965138,0.0003940997,0.0389473,0,0,0,0.1021116,0.2185574,0.03282411,0.02914243,0.0001647271,3.909968E-05,0.0005347648,0.001762732,0.002530508,1,0,-80.37727,"NAN",1,0,960,0.4850816,166.4426,12.18147,16.88256,0,0,28.09137,28.12225,1,1,20.66288,9.517803
"2023-03-15 09:33:04.2",7,12,0,100,391.6501,4.272846,0,29.99873,-0.9999861,73.48418,71.32623,0.02390699,21.33011,21.28047,2.224732,2.897061,2.087981,52.48573,40.26082,-19.99998,756.6021,12325,48.18633,43.51414,90.10541,86.68972,-27,852.4399,12666,1,1,172.0221,44.46308,399.9415,399.9746,0.3807704,0.4827812,0.5277784,23.14414,11.76438,0,0.3516476,0.004139522,0,0.0113767,0.000255779,0.0002083998,0.0002467601,1.155683E-05,0.0004317463,0.0004214159,0.0003074232,0.002238204,0.00209985,0.04163181,0.04054983,0.0004768044,0.04436961,0,0.002760324,0.002819645,0.005613082,0.005566279,0.000466363,0.04551695,0,0,0,0.1260372,0.6026328,0.06101344,0.03872032,0.00064408,4.268774E-05,0.0005823398,0.001529166,0.002588555,1,0,-80.48574,"NAN",1,0,960,0.526496,166.8551,12.19802,16.88242,0,0,28.08836,28.11924,1,1,20.66288,9.525268
